Measure,Percentage Difference (1-2) Similar,Percentage Difference (1-3) Unrelated,Percentage Difference (2-4) Unrelated,Percentage Difference (3-4) Similar,Goal / Objective,Note
words,4.3,35.8,32.5,6.6,57.5,Word count
terms,9,29.8,35.6,4.9,51.6,Unique words
vocd,3,15.8,14.9,2,25.6,Vocabulary Diversity
yulek,3.5,16.2,15,2.5,25.1,Measure of text diversity focusing on word freq. dist.
simpsond,3.5,16.1,14.9,2.5,25,Measure of diversity using number of occurrences of each word
herdanvm,0.9,12.1,12.3,1.1,22.5,Lexical variety measure
rttr,7,11.4,17.8,1.6,20.7,Standardised measure of lexical diversity (length less impact)
cttr,7,11.4,17.8,1.6,20.7,"Corrected TTR, adjusted type-token ration (length compensated)"
mtld,2,13.6,8.9,3.4,17.1,Lexical richness via text length and dist. of diff. words
yulei,12.9,18.9,5.9,1,10.9,Variant of yulek
Dugast,7.6,3.8,12.6,0.2,8.6,Freq. of single occuring words versus all words
Maas,8.2,3.7,11.2,0.2,6.4,Lexical diversity less affected by text length
hdd,0.5,2.3,2.1,0.3,3.6,Prob of encourtering new words in a text of given size
mattr,0.5,3,1.7,0.7,3.4,Moving average lexical richness
Summer,0.6,0.1,0.7,0.1,0.2,
ttr,4.9,4.4,2.3,1.8,0,Number of unique words / total number of words
Herdan,1,0.1,1,0.2,0,Lexical richness less sensitive to text length
msttr,0.5,0.9,1.6,2,0,Lexical diversity calculated over segments of text.
,,,,,0,
,,,,,C2+D2-E2-B2,
,,,,,,
,4.223097113,4.191969887,4.080133556,4.118564743,,
,,,,,,
,3.184544446,3.080133556,3.209480782,3.070714456,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
Measure,Goal / Objective,Note,,,,
words,57.5,Word count,,,,
terms,51.6,Unique words,,,,
vocd,25.6,Vocabulary Diversity,,,,
yulek,25.1,Measure of text diversity focusing on word freq. dist.,,,,
simpsond,25,Measure of diversity using number of occurrences of each word,,,,
herdanvm,22.5,Lexical variety measure,,,,
rttr,20.7,Standardised measure of lexical diversity (length less impact),,,,
cttr,20.7,"Corrected TTR, adjusted type-token ration (length compensated)",,,,
mtld,17.1,Lexical richness via text length and dist. of diff. words,,,,
yulei,10.9,Variant of yulek,,,,
Dugast,8.6,Freq. of single occuring words versus all words,,,,
Maas,6.4,Lexical diversity less affected by text length,,,,
hdd,3.6,Prob of encourtering new words in a text of given size,,,,
mattr,3.4,Moving average lexical richness,,,,
ttr,0,Number of unique words / total number of words,,,,
Herdan,0,Lexical richness less sensitive to text length,,,,
msttr,0,Lexical diversity calculated over segments of text.,,,,
