"Timestamp","How would you rate your overall experience using Prominent Profiles?","Can you briefly describe your overall impression of the app?","Were you satisfied with the variety and coverage of news topics offered by Prominent Profiles?","To what extent did you find the sentiment analysis results accurate?","What features of Prominent Profiles did you find most useful?","What features of Prominent Profiles did you find least useful?","Did you encounter any bugs or issues while using specific features?","How was Prominent Profiles' Performance? (Speed and Responsiveness)","What device type did you use to access the site?","To what extent is the Prominent Profiles UI is easy to navigate?","Did you encounter any challenges or confusion while navigating Prominent Profiles?","Did you make an account? (be honest - I understand it is time consuming and that's cool - it is just to segment responses!)","Have you seen an app that delivers news in the same way as Prominent Profiles? (If so, enter name in box)","What do you like about Prominent Profiles?","Are there any specific features or functionalities you would like to see in future updates?","From the following select the most desirable feature you'd like to see added...","Please select your age bracket","Are you generally interested and engaged with the news and current affairs?","If you have been reading particularly negative news stories around a person, would you now visit Prominent Profiles to obtain a variety of coverage?","Please express your agreement with the following statements: [The app offers access to a spectrum of sentiments, challenging biases, promoting open-mindedness and keeping news more interesting than ’boring’ impartial outlets.]","Please express your agreement with the following statements: [The app encourages me to explore news publishers I wouldn't normally consider reading]","Please express your agreement with the following statements: [The app enables me to greater understand how different individuals are portrayed by different journalists]","Please express your agreement with the following statements: [I enjoy that the app does not use algorithms or selection bias to show me news stories. (Every user sees the same)]","The app’s inclusion of a Cookie Consent Banner, Privacy Policy, HTTPs, and About Page make it appear more legitimate? ","Finally based on your experience how likely are you to recommend this app to others?","Why did you give this score?"
"2024/03/28 12:35:26 pm CET","4","The app is easy to navigate, the idea of it is also very helpful for those interested. I like that over a period of time, you’ll be able to easily see what you have missed since last logging in too. ","Yes","4","Collection of a person's news in one place;Articles split by sentiments expressed about a person.;External link to read article;The ability to subscribe to a person to track new articles by sentiments expressed about them","Scrolling News Banner","No","4","Mobile","4","No","No","No","I like that it gives well rounded responses on each individual. It’s also helpful to see how different articles / perspectives shape these individuals too. ","A feature showing individual standpoints on big debates. ","Ability to favourite articles for later reference","Under 25","Yes","Yes","Agree","Agree","Agree","Agree","Yes","4","I study Politics and feel that this would be a great resource, it offers a lot on just one platform that is helpful when researching. "
"2024/03/28 1:36:47 pm CET","5","Very polished app, unique idea","Yes","5","Articles split by sentiments expressed about a person.;External link to read article;Other Persons that feature in an Article","Descriptions of each person","No none encountered","4","Desktop / Laptop","5","None","No","No","Seems to be unique with lots of useful features to ensure people are getting unbiased news, or are at least aware of the bias of the content they are viewing","Maybe the addition of a browser plugin? This could tell you the sentiment of any article you are reading and link to the various sentiments expressed by other outlets ","Login via Google / Facebook Account","Under 25","Yes","Maybe","Agree","Agree","Agree","Don't know","Yes","5","Really cool, unique app"
"2024/03/28 1:38:29 pm CET","5","Super easy to navigate, doesn't require much explanation/induction to start using.","Yes","5","Collection of a person's news in one place;Trending Profiles (Homepage);Dropdown Menu to select a profile of your personal choosing.;Descriptions of each person;External link to read article;Other Persons that feature in an Article","Shuffle Button to pick a random profile;The ability to subscribe to a person to track new articles by sentiments expressed about them","No","5","Desktop / Laptop","5","I don't think it's clear what the difference between the 'clock icon' and 'recent' is. Similarly, I don't think it's obvious you would need to press 'reset' to get older news when on someone's profile. This is especially the case for Paula Vennells who has a blank profile due to no current articles. Maybe a separate 'view older articles'/'later dates' would be better.","Yes","No","It is very relevant to the news today. More and more emphasis is put on how bias news outlets/articles are, and people can make an informed choice of what they read. ","I think a general summary (ie, in form of a pie chart or graph) of how someone's representation in media has changed over time would be effective. Especially, for example, if 'negative breaking news' *Prince Andrew Paula Vennells* had just occurred, you'd be able to see the rise of unfavourable articles over time.","Publisher's specific representations of person(s)","Under 25","Yes","Yes","Agree","Agree","Agree","Agree","Yes","5","The app forces people to be exposed to media they can shelter themselves from, and can stops people living in 'echo chambers'. Good for politics nerds like me to gain well balanced arguments from both sides."
"2024/03/28 3:28:55 pm CET","4","Clean UI and UX, unique enough for it to actually be desired to be used","Yes","4","Collection of a person's news in one place;Articles split by sentiments expressed about a person.;Trending Profiles (Homepage);Descriptions of each person;External link to read article;The ability to subscribe to a person to track new articles by sentiments expressed about them","Dropdown Menu to select a profile of your personal choosing.","Nope","5","Mobile","3","While the use of icons is great for allowing any type of user to interact with the app. I think they should also have some text associated to them just to clarify what they do. For instance, the up/down arrow having a label called “sort”. ","No","No","Moves away from traditional perception of left and right wing ideology and focuses on the overall sentiment ","Not necessarily a feature, but as someone who likes to know how things work. Updating the about page to either include more details on how sentiment analysis works or a link to a page describing the methods used. As a common issue when using apps that use ML is that it’s considered “magic” and having a place to simplify and break down the “magic” would be nice to have for people who may be sceptical of consuming ai analysed content","Personally would prefer a search ability over a drop down box as if there are too many entries the dropdown list becomes far less efficient ","Under 25","No","Yes","Agree","Agree","Agree","Agree","Yes","4","Clean UI and UX, really interesting use of sentiment analysis and actually a good, neutral use of AI "
"2024/03/28 3:47:11 pm CET","3","fantastic idea with need of work to make the site a bit clearer ","No","3","Articles split by sentiments expressed about a person.;Dropdown Menu to select a profile of your personal choosing.;Descriptions of each person;External link to read article;Other Persons that feature in an Article","Trending Profiles (Homepage);Shuffle Button to pick a random profile","sometimes it showed no articles until pressing reset a few times. ","3","Desktop / Laptop","4","","No","","the goal ","yes. voting history in parliament and policies they push. articles to be separated into a fourth section not based on sentiment but about specific mentions of policy ","Login via Google / Facebook Account","Under 25","Yes","","Don't know","Agree","Agree","Agree","Unsure","3","it needs more work, but the idea is brilliant. i would be concerned about any bias as i know ur right wing and i am left wing so i have natural scepticism. this is why i like the idea of having their voting record and policies available "
"2024/03/28 5:15:55 pm CET","5","Clean, minimalist, easy to understand ","Yes","5","Collection of a person's news in one place;Trending Profiles (Homepage);Dropdown Menu to select a profile of your personal choosing.;Scrolling News Banner","Shuffle Button to pick a random profile;Dropdown Menu to select a profile of your personal choosing.","No","4","Mobile","5","No","Yes","No","Showcasing the current affairs and political landscape ","No","None of the above","Under 25","Yes","Maybe","Agree","Agree","Don't know","Agree","Yes","4","I think it could be a bit niche "
"2024/03/28 7:27:43 pm CET","5","Very nice interface, it's clear and to the point and a very good idea","Yes","4","Articles split by sentiments expressed about a person.;Trending Profiles (Homepage);Ability to filter the shown Articles;The ability to subscribe to a person to track new articles by sentiments expressed about them","Shuffle Button to pick a random profile","","5","Mobile","5","","No","No","I like the idea of making users aware of biases and allowing them to know what to expect from a given article","","Login via Google / Facebook Account","Under 25","No","Yes","Agree","Disagree","Agree","Agree","Yes","4","I think its a very useful idea to givemore genuine information"
"2024/03/28 8:51:14 pm CET","4","v clean and professional, relatively easy to navigate","Yes","3","Ability to filter the shown Articles;External link to read article;The ability to subscribe to a person to track new articles by sentiments expressed about them","Trending Profiles (Homepage);Shuffle Button to pick a random profile;Descriptions of each person","no","5","Mobile","4","wasn’t immediately sure that blue meant neutral sentiment ","No","No","objective coverage of each subject, there’s no way of telling the political persuasion of the creator (even though i know what you are 👀), v unbiased","a way to see how each news source portrays different political figures over time e.g perhaps over the last 14 days the mirror has been more positive about keith starmer etc","Ability to favourite articles for later reference","Under 25","Yes","Maybe","Agree","Agree","Agree","Agree","Yes","4","maybe more profiles needed, also i have no friends who care enough about politics to use it !"
"2024/03/29 2:27:58 am CET","4","I like the general goal of the app and it’s formatting, however I find the approach to solve the goal quite unsuccessful","Yes","5","Collection of a person's news in one place;Shuffle Button to pick a random profile;Descriptions of each person;External link to read article","Articles split by sentiments expressed about a person.;Scrolling News Banner","No","5","Mobile","4","No serious problems however slight overwhelm of things to interact with all on one page sometimes. (Not major at all) ","No","No","The collection of the information formatted in this way allowing short form political content and further reading for people who want more","None I can think of","Ability to favourite articles for later reference","Under 25","Yes","Maybe","Disagree","Don't know","Agree","Agree","Yes","2","I don’t know many people who like politics around me "
"2024/03/29 11:42:41 am CET","5","Took a couple of minutes to understand the structure and purpose of the web app but once that became clear the app was really interesting, useful and intuitive ","Yes","4","Articles split by sentiments expressed about a person.;Trending Profiles (Homepage);Other Persons that feature in an Article","Shuffle Button to pick a random profile","No","5","Desktop / Laptop","4","Again, took a minute to understand the layout and purpose but this was short lived ","No","No","The ability to view someone’s public perception using NLP and unbiased analysis ","","Ability to favourite articles for later reference","Under 25","No","Yes","Agree","Agree","Agree","Agree","Yes","5","The app is well made and professional looking with a really unique purpose "
